mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,AV2GF3B,10,mlp_opt_0001,9.25,7.0,236.89,0.0031,1043.51
MCAR,AV2GF3B,25,mean,11.29,8.0,33.85,0.0004,366.99
MCAR,AV2GF3B,25,reg_opt_00001,6.28,4.0,42.75,0.0006,453.08
MCAR,AV2GF3B,25,tree_gp_10000,5.82,4.0,52.63,0.0007,465.82
MCAR,AV2GF3B,25,mlp_opt_0001,9.06,6.0,241.34,0.0031,1028.89
MCAR,A0NVTRV,10,mean,8.51,7.0,123.69,0.0003,1760.35
MCAR,A0NVTRV,10,reg_opt_00001,3.08,2.0,266.94,0.0007,2212.7
MCAR,A0NVTRV,10,tree_gp_10000,2.69,2.0,262.69,0.0007,2340.62
MCAR,A0NVTRV,10,mlp_opt_0001,5.29,4.0,1060.05,0.0028,5005.72
MCAR,A0NVTRV,5,mean,8.47,7.0,149.67,0.0004,1760.25
MCAR,A0NVTRV,5,reg_opt_00001,3.0,2.0,220.37,0.0006,2226.96
MCAR,A0NVTRV,5,tree_gp_10000,2.61,2.0,262.56,0.0007,2352.23
MCAR,A0NVTRV,5,mlp_opt_0001,5.17,4.0,1091.96,0.0029,5032.97
MCAR,A0NVTRV,25,mean,8.54,7.0,125.37,0.0003,1760.62
MCAR,A0NVTRV,25,reg_opt_00001,3.21,2.0,216.95,0.0006,2173.72
MCAR,A0NVTRV,25,tree_gp_10000,2.78,2.0,270.46,0.0007,2341.61
MCAR,A0NVTRV,25,mlp_opt_0001,5.58,4.0,1053.93,0.0028,4935.5
MCAR,A0NVTRV,20,mean,8.53,7.0,132.22,0.0004,1760.54
MCAR,A0NVTRV,20,reg_opt_00001,3.17,2.0,215.15,0.0006,2185.78
MCAR,A0NVTRV,20,tree_gp_10000,2.73,2.0,272.0,0.0007,2371.1
MCAR,A0NVTRV,20,mlp_opt_0001,5.47,4.0,1131.14,0.003,4956.64
MCAR,A0NVTRV,15,mean,8.53,7.0,161.57,0.0004,1760.44
MCAR,A0NVTRV,15,reg_opt_00001,3.12,2.0,220.94,0.0006,2199.26
MCAR,A0NVTRV,15,tree_gp_10000,2.72,2.0,282.72,0.0008,2345.97
MCAR,A0NVTRV,15,mlp_opt_0001,5.39,4.0,1168.52,0.0031,4980.97
MCAR,A1K5DRI,5,mean,11.11,10.0,349.22,0.0004,4198.6
MCAR,A1K5DRI,5,reg_opt_00001,4.1,3.0,625.16,0.0007,5311.75
MCAR,A1K5DRI,5,tree_gp_10000,3.55,2.0,680.71,0.0008,5919.93
MCAR,A1K5DRI,5,mlp_opt_0001,6.96,5.0,2614.72,0.0029,12003.0
MCAR,A1K5DRI,15,mean,11.12,10.0,353.54,0.0004,4199.07
MCAR,A1K5DRI,15,reg_opt_00001,4.19,3.0,575.92,0.0006,5243.65
MCAR,A1K5DRI,15,tree_gp_10000,3.67,2.0,655.75,0.0007,5668.17
MCAR,A1K5DRI,15,mlp_opt_0001,7.09,5.0,2610.84,0.0029,11882.1
MCAR,A1K5DRI,20,mean,11.12,10.0,339.33,0.0004,4199.29
MCAR,A1K5DRI,20,reg_opt_00001,4.24,3.0,535.2,0.0006,5214.64
MCAR,A1K5DRI,20,tree_gp_10000,3.69,2.0,653.94,0.0007,5752.41
MCAR,A1K5DRI,20,mlp_opt_0001,7.19,5.0,2580.82,0.0029,11825.68
MCAR,A1K5DRI,25,mean,11.12,10.0,323.15,0.0004,4199.5
MCAR,A1K5DRI,25,reg_opt_00001,4.3,3.0,553.63,0.0006,5184.49
MCAR,A1K5DRI,25,tree_gp_10000,3.81,2.0,670.6,0.0008,5794.73
MCAR,A1K5DRI,25,mlp_opt_0001,7.26,5.0,2636.2,0.003,11771.91
MCAR,A1K5DRI,10,mean,11.14,10.0,318.66,0.0004,4198.84
